RS,RA,OBP,SLG,BA,Playoffs,RD,W
809,838,0.338,0.426,0.262,0,-29,75
772,913,0.343,0.411,0.274,0,-141,69
945,859,0.361,0.479,0.293,1,86,95
883,862,0.352,0.457,0.28,0,21,84
787,783,0.335,0.415,0.272,0,4,85
665,812,0.314,0.393,0.246,0,-147,65
826,581,0.342,0.453,0.272,1,245,106
817,785,0.347,0.447,0.273,0,32,79
876,729,0.348,0.463,0.28,1,147,92
831,792,0.337,0.433,0.264,1,39,90
861,931,0.339,0.444,0.271,0,-70,80
750,760,0.337,0.402,0.262,0,-10,77
850,779,0.347,0.448,0.272,1,71,89
826,855,0.347,0.461,0.291,0,-29,77
722,863,0.323,0.415,0.264,0,-141,65
667,923,0.317,0.373,0.248,0,-256,54
874,620,0.356,0.436,0.28,1,254,102
714,899,0.324,0.399,0.263,0,-185,72
669,678,0.31,0.387,0.252,0,-9,83
707,812,0.33,0.396,0.26,0,-105,74
734,818,0.328,0.389,0.266,0,-84,70
644,783,0.31,0.394,0.249,0,-139,65
706,645,0.33,0.394,0.259,0,61,88
965,656,0.364,0.46,0.288,1,309,114
804,866,0.338,0.397,0.257,0,-62,74
713,808,0.326,0.395,0.264,0,-95,75
650,718,0.311,0.374,0.254,0,-68,69
749,635,0.33,0.409,0.253,1,114,98
859,855,0.345,0.468,0.276,0,4,76
845,739,0.353,0.421,0.274,0,106,89
810,782,0.341,0.441,0.258,0,28,83
620,751,0.321,0.385,0.261,0,-131,63
940,871,0.357,0.462,0.289,1,69,88
816,768,0.34,0.448,0.266,0,48,88
829,794,0.346,0.416,0.272,0,35,84
791,581,0.343,0.426,0.27,1,210,101
812,681,0.341,0.429,0.268,1,131,98
851,857,0.352,0.463,0.291,0,-6,78
687,759,0.321,0.396,0.263,0,-72,68
779,833,0.341,0.417,0.273,0,-54,80
651,764,0.321,0.389,0.253,0,-113,76
868,815,0.358,0.467,0.286,1,53,86
923,908,0.357,0.478,0.288,0,15,83
784,790,0.332,0.415,0.258,0,-6,79
740,669,0.346,0.395,0.259,1,71,92
777,660,0.344,0.403,0.259,1,117,84
747,820,0.333,0.407,0.264,0,-73,67
742,645,0.33,0.418,0.268,0,97,88
681,742,0.325,0.398,0.26,0,-61,78
772,861,0.333,0.409,0.27,0,-89,68
691,740,0.316,0.425,0.258,0,-49,78
777,709,0.332,0.405,0.262,0,68,88
891,688,0.362,0.436,0.287,1,203,96
764,946,0.339,0.423,0.26,0,-182,65
668,840,0.322,0.385,0.255,0,-172,68
725,760,0.329,0.404,0.262,0,-35,79
795,891,0.342,0.407,0.271,0,-96,76
925,833,0.355,0.485,0.28,1,92,90
784,793,0.337,0.414,0.258,1,-9,90
689,708,0.324,0.396,0.255,0,-19,73
807,823,0.334,0.438,0.274,0,-16,77
654,694,0.31,0.389,0.244,0,-40,76
773,648,0.333,0.432,0.27,1,125,96
949,903,0.35,0.472,0.274,1,46,88
928,921,0.359,0.457,0.283,0,7,85
762,943,0.339,0.431,0.276,0,-181,70
772,771,0.32,0.401,0.251,0,1,76
898,794,0.36,0.447,0.281,0,104,85
778,773,0.331,0.422,0.256,0,5,81
952,769,0.369,0.475,0.293,1,183,99
961,964,0.355,0.472,0.287,0,-3,83
783,1103,0.323,0.42,0.256,0,-320,53
688,703,0.329,0.393,0.257,0,-15,80
753,792,0.336,0.397,0.262,0,-39,82
746,786,0.332,0.398,0.267,0,-40,75
703,652,0.316,0.384,0.252,1,51,90
894,899,0.353,0.441,0.279,0,-5,80
877,900,0.357,0.425,0.288,0,-23,78
741,668,0.327,0.406,0.262,0,73,88
746,779,0.324,0.412,0.27,0,-33,71
871,787,0.36,0.436,0.288,1,84,92
861,900,0.344,0.452,0.265,0,-39,78
650,790,0.325,0.387,0.256,0,-140,67
776,833,0.329,0.407,0.266,0,-57,73
771,682,0.338,0.402,0.265,1,89,91
993,895,0.366,0.484,0.287,0,98,85
752,862,0.331,0.388,0.253,0,-110,68
759,706,0.33,0.407,0.267,1,53,88
928,799,0.358,0.469,0.284,1,129,90
766,809,0.331,0.42,0.259,0,-43,74
767,559,0.331,0.408,0.262,1,208,104
786,745,0.346,0.413,0.267,0,41,85
686,698,0.33,0.395,0.264,0,-12,80
684,770,0.331,0.38,0.26,0,-86,71
738,739,0.325,0.414,0.27,0,-1,84
776,664,0.338,0.411,0.265,1,112,94
722,785,0.324,0.396,0.264,0,-63,73
790,813,0.335,0.409,0.275,0,-23,76
758,967,0.323,0.422,0.273,0,-209,67
899,837,0.362,0.434,0.275,0,62,85
581,724,0.314,0.346,0.248,0,-143,64
716,630,0.33,0.409,0.267,0,86,85
675,694,0.32,0.397,0.263,0,-19,84
675,662,0.321,0.383,0.261,0,13,81
733,792,0.328,0.378,0.258,0,-59,69
693,830,0.327,0.385,0.264,0,-137,71
732,682,0.326,0.386,0.257,0,50,94
672,744,0.305,0.39,0.248,0,-72,59
821,761,0.353,0.435,0.279,0,60,88
715,846,0.33,0.394,0.254,0,-131,68
877,740,0.351,0.426,0.274,1,137,97
707,806,0.335,0.393,0.267,0,-99,75
679,772,0.312,0.389,0.252,0,-93,61
734,731,0.339,0.406,0.26,0,3,82
808,636,0.34,0.427,0.276,0,172,103
758,744,0.341,0.395,0.272,0,14,87
835,751,0.329,0.431,0.267,0,84,86
847,742,0.35,0.436,0.279,1,105,95
682,569,0.316,0.388,0.254,1,113,98
705,656,0.34,0.398,0.259,0,49,89
599,669,0.321,0.347,0.246,0,-70,73
579,671,0.301,0.338,0.243,0,-92,72
593,624,0.307,0.364,0.254,0,-31,78
738,690,0.336,0.383,0.261,0,48,86
660,609,0.328,0.382,0.26,0,51,90
674,746,0.323,0.383,0.266,0,-72,76
791,794,0.337,0.407,0.256,0,-3,75
608,668,0.313,0.359,0.246,0,-60,81
610,667,0.315,0.364,0.256,0,-57,72
548,636,0.313,0.339,0.248,0,-88,63
740,604,0.33,0.375,0.268,0,136,92
747,653,0.341,0.391,0.277,0,94,90
648,581,0.313,0.37,0.252,0,67,87
599,653,0.31,0.342,0.235,0,-54,72
733,746,0.328,0.406,0.261,0,-13,76
745,672,0.346,0.386,0.258,1,73,96
686,717,0.32,0.377,0.253,0,-31,70
693,595,0.324,0.381,0.255,1,98,96
617,636,0.313,0.386,0.255,0,-19,82
679,799,0.323,0.402,0.263,0,-120,64
574,647,0.302,0.355,0.244,0,-73,72
631,604,0.323,0.375,0.262,0,27,83
682,753,0.321,0.393,0.25,0,-71,77
780,682,0.333,0.414,0.263,1,98,96
749,644,0.328,0.393,0.258,1,105,94
686,796,0.319,0.401,0.254,0,-110,67
731,712,0.34,0.401,0.269,0,19,84
653,649,0.314,0.374,0.255,0,4,81
695,734,0.309,0.39,0.253,0,-39,77
758,681,0.336,0.391,0.262,0,77,87
689,691,0.32,0.403,0.258,0,-2,74
576,759,0.313,0.35,0.254,0,-183,57
817,794,0.333,0.416,0.247,0,23,84
605,717,0.309,0.347,0.244,0,-112,65
727,722,0.328,0.394,0.264,0,5,82
665,565,0.326,0.359,0.253,0,100,93
799,744,0.336,0.396,0.271,0,55,83
776,652,0.344,0.42,0.28,1,124,95
579,655,0.308,0.357,0.246,0,-76,71
640,646,0.317,0.365,0.244,0,-6,77
674,777,0.316,0.387,0.256,0,-103,71
760,776,0.331,0.389,0.248,0,-16,84
629,680,0.303,0.358,0.241,0,-51,78
768,632,0.338,0.398,0.263,1,136,98
636,646,0.31,0.362,0.244,0,-10,84
702,674,0.328,0.383,0.255,0,28,83
649,697,0.309,0.381,0.246,0,-48,75
651,648,0.322,0.357,0.255,0,3,84
829,814,0.341,0.424,0.27,0,15,85
684,622,0.322,0.4,0.257,1,62,91
682,821,0.311,0.396,0.25,0,-139,65
669,698,0.33,0.37,0.245,0,-29,76
699,664,0.344,0.395,0.272,1,35,88
690,706,0.329,0.391,0.26,0,-16,80
690,774,0.314,0.392,0.263,0,-84,77
682,633,0.32,0.379,0.258,0,49,94
693,597,0.325,0.399,0.265,1,96,91
732,737,0.324,0.391,0.267,0,-5,77
750,754,0.337,0.409,0.259,0,-4,79
573,656,0.313,0.345,0.242,0,-83,75
707,709,0.328,0.395,0.267,0,-2,75
728,685,0.328,0.382,0.262,0,43,86
732,760,0.32,0.384,0.256,0,-28,74
666,729,0.324,0.385,0.265,0,-63,74
662,598,0.322,0.37,0.25,0,64,85
775,613,0.323,0.408,0.256,0,162,91
603,749,0.3,0.366,0.241,0,-146,67
733,570,0.336,0.391,0.254,1,163,103
646,729,0.327,0.363,0.255,0,-83,77
733,619,0.33,0.405,0.259,1,114,95
673,673,0.32,0.38,0.257,0,0,75
640,680,0.333,0.373,0.259,0,-40,77
719,710,0.323,0.396,0.262,0,9,85
599,698,0.32,0.358,0.256,0,-99,70
676,696,0.331,0.376,0.259,0,-20,83
767,661,0.328,0.419,0.265,0,106,86
584,680,0.298,0.35,0.234,0,-96,63
708,686,0.326,0.379,0.252,0,22,87
774,735,0.351,0.403,0.277,0,39,83
669,578,0.311,0.386,0.256,0,91,91
702,623,0.319,0.387,0.261,1,79,93
693,750,0.328,0.383,0.271,0,-57,69
632,691,0.309,0.37,0.247,0,-59,75
604,654,0.31,0.365,0.245,0,-50,73
617,816,0.318,0.351,0.242,0,-199,59
647,669,0.306,0.345,0.239,0,-22,86
690,635,0.329,0.373,0.261,0,55,92
554,536,0.306,0.339,0.24,0,18,77
707,679,0.318,0.382,0.259,0,28,81
740,738,0.334,0.402,0.276,0,2,80
632,630,0.319,0.361,0.247,0,2,81
683,595,0.311,0.385,0.246,0,88,87
698,792,0.331,0.391,0.269,0,-94,74
712,576,0.331,0.381,0.261,1,136,99
629,735,0.314,0.364,0.243,0,-106,67
637,680,0.311,0.359,0.241,0,-43,74
642,626,0.319,0.369,0.251,0,16,89
694,728,0.32,0.384,0.257,0,-34,73
699,600,0.316,0.39,0.25,1,99,92
632,608,0.321,0.363,0.258,0,24,86
695,714,0.326,0.394,0.263,0,-19,83
731,651,0.323,0.398,0.26,1,80,89
555,741,0.298,0.348,0.242,0,-186,54
550,789,0.305,0.359,0.238,0,-239,54
813,689,0.357,0.42,0.283,1,124,89
714,771,0.321,0.385,0.261,0,-57,75
660,694,0.31,0.383,0.261,0,-34,77
631,757,0.303,0.37,0.244,0,-126,71
641,596,0.309,0.368,0.246,0,45,87
666,731,0.314,0.387,0.261,0,-65,78
703,658,0.324,0.378,0.25,0,45,88
617,631,0.306,0.351,0.244,0,-14,82
704,648,0.321,0.391,0.259,0,56,84
628,544,0.305,0.352,0.248,1,84,94
682,616,0.314,0.375,0.257,0,66,87
759,672,0.34,0.421,0.274,0,87,91
628,592,0.309,0.373,0.251,0,36,81
703,532,0.325,0.396,0.256,1,171,100
772,748,0.333,0.395,0.263,0,24,85
800,620,0.336,0.399,0.263,1,180,104
597,734,0.306,0.355,0.239,0,-137,65
651,616,0.317,0.369,0.247,0,35,85
594,583,0.31,0.351,0.247,0,11,83
664,744,0.317,0.398,0.257,0,-80,68
670,626,0.318,0.368,0.248,0,44,83
578,633,0.309,0.337,0.249,0,-55,76
637,735,0.32,0.368,0.252,0,-98,70
763,680,0.332,0.419,0.268,0,83,87
747,829,0.339,0.403,0.258,0,-82,69
729,880,0.322,0.418,0.258,0,-151,67
842,825,0.352,0.43,0.278,0,17,78
770,803,0.326,0.401,0.252,0,-33,75
720,801,0.326,0.432,0.264,0,-81,76
748,746,0.319,0.415,0.258,0,2,77
783,752,0.33,0.427,0.266,0,31,84
742,957,0.324,0.422,0.263,0,-215,61
896,735,0.349,0.451,0.272,1,161,98
648,678,0.318,0.373,0.253,0,-30,76
715,691,0.328,0.412,0.262,0,24,83
635,675,0.309,0.371,0.252,0,-40,73
862,817,0.346,0.428,0.276,0,45,91
786,806,0.328,0.43,0.261,1,-20,85
741,720,0.328,0.401,0.265,0,21,91
823,698,0.339,0.434,0.268,0,125,92
788,758,0.336,0.418,0.262,0,30,89
806,789,0.333,0.428,0.26,0,17,81
702,749,0.327,0.41,0.254,0,-47,80
723,744,0.33,0.403,0.264,0,-21,80
668,763,0.332,0.378,0.26,0,-95,65
760,801,0.335,0.428,0.272,0,-41,78
783,669,0.324,0.43,0.26,1,114,90
798,693,0.34,0.378,0.263,1,105,95
823,849,0.333,0.43,0.266,0,-26,75
845,655,0.336,0.446,0.269,0,190,96
615,719,0.319,0.381,0.25,0,-104,72
708,760,0.327,0.395,0.258,0,-52,73
794,696,0.346,0.415,0.271,1,98,95
786,684,0.338,0.404,0.255,1,102,92
680,781,0.318,0.398,0.256,0,-101,70
644,699,0.31,0.363,0.247,0,-55,72
732,717,0.325,0.387,0.254,0,15,86
831,841,0.337,0.43,0.284,0,-10,84
798,714,0.338,0.424,0.263,0,84,87
654,569,0.322,0.381,0.255,1,85,96
654,673,0.313,0.39,0.252,0,-19,76
638,679,0.313,0.37,0.251,0,-41,73
667,734,0.321,0.385,0.255,0,-67,77
741,839,0.325,0.428,0.261,0,-98,71
637,688,0.322,0.379,0.254,0,-51,78
783,578,0.339,0.401,0.263,1,205,108
797,738,0.347,0.43,0.271,0,59,90
731,760,0.322,0.39,0.252,0,-29,76
739,713,0.327,0.4,0.253,0,26,86
663,700,0.321,0.374,0.25,0,-37,64
656,723,0.321,0.388,0.261,0,-67,74
718,835,0.326,0.399,0.253,0,-117,67
698,618,0.322,0.375,0.253,0,80,83
601,611,0.309,0.327,0.236,0,-10,79
771,743,0.331,0.428,0.267,0,28,87
809,733,0.329,0.427,0.269,0,76,86
632,781,0.315,0.363,0.246,0,-149,66
818,764,0.336,0.43,0.263,0,54,83
800,720,0.347,0.429,0.282,0,80,81
732,703,0.333,0.386,0.251,0,29,90
686,729,0.324,0.39,0.254,0,-43,77
736,720,0.315,0.392,0.253,0,16,85
677,666,0.327,0.376,0.255,0,11,89
729,861,0.324,0.385,0.265,0,-132,60
729,688,0.318,0.424,0.253,0,41,84
706,691,0.319,0.388,0.261,0,15,83
687,639,0.313,0.401,0.252,1,48,91
682,579,0.328,0.382,0.261,1,103,95
690,802,0.319,0.379,0.263,0,-112,71
705,782,0.326,0.407,0.264,0,-77,77
633,636,0.31,0.375,0.247,0,-3,84
695,568,0.323,0.385,0.257,0,127,98
839,660,0.344,0.425,0.267,0,179,97
757,787,0.325,0.401,0.264,0,-30,77
667,673,0.312,0.383,0.245,0,-6,75
568,708,0.311,0.347,0.247,0,-140,57
650,622,0.32,0.368,0.255,0,28,83
719,818,0.326,0.412,0.255,0,-99,74
556,674,0.299,0.348,0.233,0,-118,62
747,572,0.335,0.379,0.264,1,175,101
617,785,0.322,0.381,0.253,0,-168,62
759,588,0.331,0.425,0.269,1,171,99
632,655,0.317,0.361,0.247,0,-23,80
681,667,0.328,0.391,0.252,0,14,85
810,764,0.341,0.441,0.283,0,46,86
696,697,0.319,0.381,0.249,0,-1,81
762,658,0.331,0.397,0.26,1,104,96
679,736,0.314,0.395,0.247,0,-57,74
627,747,0.313,0.356,0.244,0,-120,70
761,766,0.335,0.384,0.265,0,-5,75
829,643,0.342,0.432,0.271,1,186,104
693,630,0.323,0.371,0.264,0,63,80
673,686,0.317,0.399,0.268,1,-13,84
580,600,0.306,0.348,0.244,0,-20,79
641,734,0.317,0.37,0.262,0,-93,67
673,675,0.318,0.385,0.265,0,-2,81
593,585,0.312,0.362,0.251,0,8,78
652,676,0.32,0.369,0.257,0,-24,90
758,679,0.339,0.404,0.276,0,79,87
738,796,0.327,0.404,0.259,0,-58,77
720,690,0.333,0.407,0.266,0,30,81
615,567,0.31,0.363,0.255,0,48,75
686,634,0.317,0.371,0.259,1,52,92
682,774,0.324,0.384,0.258,0,-92,74
682,807,0.328,0.375,0.265,0,-125,66
652,645,0.317,0.351,0.252,0,7,84
656,714,0.313,0.377,0.261,0,-58,69
750,696,0.331,0.421,0.273,0,54,89
746,640,0.341,0.4,0.272,0,106,88
799,652,0.34,0.421,0.269,1,147,98
724,775,0.335,0.409,0.27,0,-51,78
722,779,0.322,0.393,0.26,0,-57,70
701,719,0.319,0.401,0.261,0,-18,71
800,650,0.329,0.413,0.262,1,150,99
623,710,0.314,0.356,0.239,0,-87,74
704,785,0.338,0.369,0.265,0,-81,70
789,679,0.335,0.427,0.274,0,110,92
643,646,0.32,0.375,0.257,0,-3,85
696,767,0.32,0.397,0.271,0,-71,79
654,609,0.318,0.379,0.25,1,45,91
764,708,0.333,0.418,0.277,0,56,87
709,822,0.319,0.401,0.261,0,-113,70
677,646,0.326,0.386,0.264,0,31,82
575,680,0.3,0.344,0.241,0,-105,68
770,703,0.337,0.416,0.273,0,67,91
708,782,0.326,0.381,0.262,0,-74,74
696,635,0.329,0.373,0.249,1,61,90
659,648,0.325,0.383,0.264,0,11,84
653,653,0.311,0.351,0.25,0,0,81
558,740,0.301,0.36,0.24,0,-182,60
687,697,0.325,0.375,0.247,0,-10,79
679,710,0.335,0.384,0.27,0,-31,79
639,609,0.31,0.366,0.255,0,30,77
795,726,0.338,0.436,0.277,0,69,89
739,702,0.325,0.383,0.256,1,37,89
774,687,0.341,0.419,0.266,0,87,94
753,713,0.34,0.407,0.274,0,40,89
814,670,0.347,0.433,0.274,1,144,93
676,709,0.317,0.375,0.26,0,-33,73
786,710,0.337,0.413,0.273,0,76,87
545,661,0.31,0.35,0.251,0,-116,61
683,748,0.341,0.373,0.262,0,-65,78
729,685,0.324,0.418,0.266,0,44,83
569,620,0.302,0.349,0.247,0,-51,77
784,717,0.337,0.428,0.285,0,67,90
691,612,0.327,0.388,0.264,0,79,88
891,717,0.335,0.455,0.279,1,174,95
657,819,0.316,0.396,0.257,0,-162,60
697,616,0.325,0.396,0.262,0,81,86
609,723,0.305,0.35,0.247,0,-114,65
709,716,0.328,0.398,0.256,0,-7,79
691,819,0.309,0.367,0.236,0,-128,68
664,654,0.323,0.376,0.26,0,10,89
724,696,0.327,0.408,0.273,0,28,84
675,658,0.311,0.359,0.257,0,17,81
651,712,0.311,0.381,0.254,0,-61,76
673,687,0.327,0.376,0.253,0,-14,87
685,609,0.334,0.364,0.264,1,76,92
590,749,0.308,0.359,0.249,0,-159,64
651,701,0.314,0.383,0.262,0,-50,78
630,660,0.307,0.38,0.25,0,-30,81
805,640,0.342,0.413,0.273,0,165,100
757,767,0.34,0.436,0.283,0,-10,83
698,797,0.332,0.378,0.265,0,-99,65
614,728,0.309,0.365,0.251,0,-114,64
587,722,0.311,0.37,0.259,0,-135,70
707,670,0.327,0.386,0.262,0,37,89
738,807,0.35,0.381,0.277,0,-69,79
830,757,0.348,0.409,0.273,0,73,84
637,589,0.326,0.367,0.261,1,48,93
809,694,0.345,0.413,0.286,1,115,97
663,591,0.323,0.388,0.263,0,72,92
811,682,0.329,0.448,0.275,0,129,86
670,724,0.319,0.381,0.265,0,-54,77
694,629,0.324,0.388,0.257,0,65,90
611,702,0.319,0.345,0.257,0,-91,67
820,662,0.343,0.425,0.267,1,158,103
686,642,0.322,0.385,0.259,0,44,83
728,639,0.327,0.4,0.27,1,89,91
666,646,0.322,0.388,0.266,0,20,83
591,654,0.324,0.342,0.255,0,-63,73
610,793,0.308,0.356,0.248,0,-183,59
573,634,0.308,0.342,0.244,0,-61,75
738,710,0.328,0.4,0.275,0,28,74
756,752,0.339,0.405,0.284,0,4,76
624,762,0.309,0.383,0.251,0,-138,67
669,763,0.318,0.377,0.256,0,-94,66
757,582,0.336,0.419,0.261,1,175,102
841,711,0.344,0.456,0.283,0,130,91
866,768,0.351,0.429,0.282,1,98,88
706,707,0.329,0.403,0.269,0,-1,80
730,748,0.333,0.41,0.275,0,-18,73
731,644,0.338,0.396,0.264,1,87,90
760,805,0.34,0.384,0.258,0,-45,81
770,738,0.339,0.415,0.269,0,32,84
583,582,0.315,0.344,0.256,0,1,89
851,816,0.343,0.422,0.282,0,35,85
739,717,0.331,0.412,0.263,0,22,79
807,722,0.345,0.448,0.28,0,85,95
764,725,0.341,0.402,0.278,0,39,82
701,581,0.319,0.408,0.264,0,120,95
593,706,0.313,0.35,0.25,0,-113,63
734,672,0.328,0.406,0.266,0,62,89
573,860,0.302,0.346,0.239,0,-287,54
683,718,0.34,0.396,0.266,0,-35,84
775,643,0.33,0.416,0.272,1,132,98
603,681,0.311,0.348,0.242,0,-78,68
711,820,0.331,0.404,0.269,0,-109,67
672,751,0.319,0.365,0.246,0,-79,71
731,693,0.331,0.401,0.278,0,38,86
750,698,0.334,0.409,0.278,0,52,83
613,862,0.311,0.363,0.251,0,-249,53
600,750,0.315,0.363,0.244,0,-150,69
659,633,0.326,0.396,0.258,0,26,90
796,657,0.336,0.424,0.267,0,139,99
691,666,0.33,0.37,0.259,0,25,87
664,724,0.331,0.361,0.264,0,-60,79
634,731,0.317,0.379,0.264,0,-97,71
710,688,0.334,0.393,0.256,0,22,92
639,694,0.323,0.379,0.261,0,-55,69
714,653,0.339,0.392,0.271,0,61,86
605,634,0.313,0.355,0.258,0,-29,74
743,634,0.329,0.399,0.268,1,109,92
727,573,0.338,0.402,0.264,1,154,95
804,650,0.339,0.432,0.276,0,154,93
666,678,0.339,0.375,0.267,0,-12,73
633,611,0.306,0.379,0.254,0,22,76
607,690,0.314,0.352,0.245,0,-83,66
735,582,0.329,0.388,0.267,1,153,100
532,690,0.303,0.351,0.245,0,-158,69
708,586,0.328,0.388,0.258,1,122,90
684,637,0.32,0.385,0.257,0,47,88
591,598,0.321,0.348,0.252,0,-7,84
614,834,0.314,0.359,0.248,0,-220,56
613,594,0.318,0.374,0.248,0,19,89
600,657,0.303,0.358,0.249,0,-57,69
692,632,0.332,0.381,0.253,0,60,87
590,775,0.308,0.359,0.25,0,-185,59
678,895,0.32,0.376,0.254,0,-217,61
719,653,0.329,0.393,0.261,0,66,97
859,712,0.345,0.465,0.281,0,147,97
675,695,0.324,0.386,0.255,0,-20,74
692,739,0.33,0.387,0.266,0,-47,81
844,771,0.344,0.444,0.278,0,73,90
802,725,0.345,0.436,0.274,0,77,88
676,739,0.334,0.38,0.269,0,-63,71
714,751,0.318,0.41,0.264,0,-37,74
680,650,0.32,0.385,0.254,0,30,81
822,651,0.34,0.436,0.277,1,171,102
769,582,0.336,0.418,0.266,1,187,98
639,765,0.314,0.389,0.258,0,-126,67
867,776,0.348,0.417,0.282,0,91,84
665,736,0.318,0.402,0.26,0,-71,75
587,663,0.313,0.346,0.244,0,-76,64
831,651,0.344,0.444,0.281,1,180,100
605,749,0.308,0.352,0.24,0,-144,63
847,668,0.346,0.448,0.279,1,179,101
734,665,0.331,0.413,0.274,0,69,96
692,834,0.324,0.375,0.249,0,-142,69
624,855,0.312,0.381,0.256,0,-231,64
673,711,0.323,0.383,0.253,0,-38,75
737,688,0.33,0.388,0.27,0,49,83
767,657,0.342,0.405,0.27,0,110,94
605,822,0.316,0.365,0.252,0,-217,54
620,700,0.32,0.334,0.245,0,-80,70
619,598,0.31,0.358,0.243,0,21,88
716,660,0.324,0.402,0.263,0,56,83
550,631,0.306,0.318,0.235,0,-81,76
611,728,0.313,0.356,0.251,0,-117,75
586,745,0.314,0.349,0.255,0,-159,64
857,633,0.357,0.424,0.28,1,224,102
615,615,0.321,0.359,0.263,0,0,81
609,709,0.315,0.365,0.257,0,-100,74
625,657,0.322,0.347,0.256,0,-32,80
713,611,0.327,0.371,0.269,1,102,90
608,543,0.313,0.349,0.251,0,65,92
570,655,0.311,0.34,0.246,0,-85,66
743,704,0.341,0.375,0.274,0,39,85
531,734,0.291,0.34,0.235,0,-203,55
615,538,0.319,0.352,0.246,0,77,86
730,575,0.328,0.389,0.269,1,155,97
686,598,0.323,0.361,0.246,0,88,87
770,557,0.338,0.395,0.272,1,213,101
708,630,0.321,0.391,0.267,0,78,92
570,662,0.31,0.337,0.247,0,-92,73
595,686,0.312,0.345,0.246,0,-91,74
629,671,0.323,0.359,0.26,0,-42,72
616,652,0.321,0.341,0.25,0,-36,76
583,739,0.313,0.346,0.244,0,-156,67
682,553,0.326,0.373,0.252,0,129,90
796,709,0.344,0.417,0.275,1,87,95
628,723,0.322,0.328,0.246,0,-95,72
712,827,0.338,0.368,0.259,0,-115,75
